time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,timestamp,Symbol
1577577600,7540.65,7295.33,7316.23,18230.94,135257936.53,7399.49,direct,,2019-12-29,BTC
1577664000,7414.07,7224.79,7399.49,23030.92,168180498.67,7234.44,direct,,2019-12-30,BTC
1577750400,7325.24,7141.94,7234.44,19424.26,140384995.27,7183.88,direct,,2019-12-31,BTC
1577836800,7267.16,7171.82,7183.88,11872.0,85986188.11,7189.94,direct,,2020-01-01,BTC
1577923200,7224.84,6945.83,7189.94,26531.32,187393954.35,6965.72,direct,,2020-01-02,BTC
1578009600,7407.11,6882.62,6965.72,51975.01,376690440.38,7339.7,direct,,2020-01-03,BTC
1578096000,7405.75,7278.6,7339.7,22083.57,162106895.05,7357.5,direct,,2020-01-04,BTC
1578182400,7501.42,7330.07,7357.5,24084.13,179147746.87,7359.96,direct,,2020-01-05,BTC
1578268800,7799.63,7355.11,7359.96,46443.66,352286216.6,7762.69,direct,,2020-01-06,BTC
1578355200,8218.63,7736.57,7762.69,75423.75,600054472.25,8160.36,direct,,2020-01-07,BTC
1578441600,8458.65,7873.97,8160.36,85087.59,699004342.7,8045.15,direct,,2020-01-08,BTC
1578528000,8047.11,7757.04,8045.15,40045.64,316199456.84,7817.35,direct,,2020-01-09,BTC
1578614400,8192.05,7682.56,7817.35,55534.09,441131626.25,8190.31,direct,,2020-01-10,BTC
1578700800,8287.42,8003.87,8190.31,30734.63,250060123.9,8024.58,direct,,2020-01-11,BTC
1578787200,8185.14,7968.4,8024.58,17525.61,142197585.82,8181.49,direct,,2020-01-12,BTC
1578873600,8200.4,8057.37,8181.49,22746.0,184437465.66,8106.56,direct,,2020-01-13,BTC
1578960000,8874.07,8106.4,8106.56,89444.78,768098459.01,8820.95,direct,,2020-01-14,BTC
1579046400,8890.04,8559.93,8820.95,50394.79,441186933.78,8813.21,direct,,2020-01-15,BTC
1579132800,8846.78,8586.56,8813.21,33539.82,290989712.92,8719.63,direct,,2020-01-16,BTC
1579219200,9004.35,8665.99,8719.63,48787.4,432856377.78,8894.83,direct,,2020-01-17,BTC
1579305600,8974.65,8807.26,8894.83,19872.9,176837362.25,8909.28,direct,,2020-01-18,BTC
1579392000,9177.39,8508.15,8909.28,47750.9,421483277.31,8702.59,direct,,2020-01-19,BTC
1579478400,8737.36,8521.52,8702.59,21888.47,189247381.47,8634.03,direct,,2020-01-20,BTC
1579564800,8771.75,8479.9,8634.03,22731.19,196404470.17,8724.84,direct,,2020-01-21,BTC
1579651200,8793.74,8582.43,8724.84,17278.13,149906743.85,8667.26,direct,,2020-01-22,BTC
1579737600,8680.93,8290.98,8667.26,38348.08,323273085.37,8394.28,direct,,2020-01-23,BTC
1579824000,8517.5,8225.83,8394.28,27811.03,233502998.73,8431.78,direct,,2020-01-24,BTC
1579910400,8444.32,8263.42,8431.78,14296.82,119345600.29,8345.88,direct,,2020-01-25,BTC
1579996800,8605.33,8302.57,8345.88,22444.54,189985702.21,8602.37,direct,,2020-01-26,BTC
1580083200,8991.01,8572.37,8602.37,37524.75,329416202.64,8898.94,direct,,2020-01-27,BTC
1580169600,9407.39,8892.58,8898.94,51850.54,471220882.55,9391.97,direct,,2020-01-28,BTC
1580256000,9429.16,9234.27,9391.97,36978.22,345265419.21,9286.18,direct,,2020-01-29,BTC
1580342400,9561.26,9181.72,9286.18,45852.79,430815723.66,9501.38,direct,,2020-01-30,BTC
1580428800,9518.87,9208.36,9501.38,31334.26,292627757.98,9342.23,direct,,2020-01-31,BTC
1580515200,9455.92,9296.57,9342.23,14778.25,138614091.6,9384.45,direct,,2020-02-01,BTC
1580601600,9469.84,9169.21,9384.45,24059.37,225322638.39,9334.25,direct,,2020-02-02,BTC
1580688000,9605.66,9230.83,9334.25,33363.87,312315107.48,9288.96,direct,,2020-02-03,BTC
1580774400,9347.12,9089.52,9288.96,26614.92,244997961.95,9171.98,direct,,2020-02-04,BTC
1580860800,9750.28,9162.98,9171.98,47150.99,448381299.88,9611.42,direct,,2020-02-05,BTC
1580947200,9853.08,9533.37,9611.42,42264.62,410313693.85,9755.84,direct,,2020-02-06,BTC
1581033600,9866.18,9714.16,9755.84,25549.21,249852208.28,9808.36,direct,,2020-02-07,BTC
1581120000,9936.26,9665.26,9808.36,24889.03,244352034.45,9898.25,direct,,2020-02-08,BTC
1581206400,10162.71,9880.67,9898.25,33829.57,340301629.71,10157.78,direct,,2020-02-09,BTC
1581292800,10185.09,9761.16,10157.78,40941.28,406256357.82,9858.03,direct,,2020-02-10,BTC
1581379200,10370.44,9716.32,9858.03,49240.73,495614708.0,10269.43,direct,,2020-02-11,BTC
1581465600,10475.43,10250.55,10269.43,43484.9,449510878.91,10347.93,direct,,2020-02-12,BTC
1581552000,10500.54,10081.02,10347.93,49389.81,507955951.95,10233.32,direct,,2020-02-13,BTC
1581638400,10387.37,10103.67,10233.32,28984.69,297409586.88,10360.37,direct,,2020-02-14,BTC
1581724800,10388.6,9789.89,10360.37,29878.88,300819428.52,9905.43,direct,,2020-02-15,BTC
1581811200,10042.6,9634.4,9905.43,27579.54,272176494.52,9925.51,direct,,2020-02-16,BTC
1581897600,9958.46,9482.71,9925.51,37157.31,359702988.14,9702.48,direct,,2020-02-17,BTC
1581984000,10274.35,9618.77,9702.48,38551.14,382869718.91,10182.6,direct,,2020-02-18,BTC
1582070400,10300.04,9340.17,10182.6,47506.68,473100344.44,9602.43,direct,,2020-02-19,BTC
1582156800,9698.59,9402.81,9602.43,36843.12,352949373.64,9608.8,direct,,2020-02-20,BTC
